serial_scrambled,BSA21_final_wt,DVSex21,Ragecat,HHincomex,RClassGP,hedqual2x,MarStat6x,HhlChlGpdx,PMSx,HomoSexx,Partyfwx,Politicsx,Votedx,Spend1x,dolex,TAXSPENDx,EQOPPGAYx,EQOPPTx,CHOPWOMMx,EQOPPBLKx,TBirCertx,EqOpDisx,EqOpMhx,welfare2,leftrigh,libauth,NHSSatx,GPSatx,NHSFProbx,NHSAccx
1038922,0.705470733829182,Male,35-44,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Labour,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,About right,1.875,1.8,2.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1000391,1.41832995739474,Female,35-44,Prefer not to answer,Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,4.0,1.8,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1000392,1.55911531763636,Male,35-44,Prefer not to answer,Managerial and professional occupations,No qualifications,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.875,1.8,4.0,Not applicable,Not applicable,Not applicable,Not applicable
1046131,0.450917231763616,Female,35-44,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.0,3.0,2.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1046132,1.09664001658829,Male,35-44,"£2,561 - £4,350 per month",Managerial and professional occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone nearly far enough,2.625,1.6,3.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1014801,0.312492164303157,Male,65+,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Labour,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,1.125,2.4,1.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1014802,0.556312978454373,Female,65+,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Liberal Democrat,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone nearly far enough,1.25,2.4,1.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1013151,0.206311498149904,Female,55-59,Prefer not to answer,Managerial and professional occupations,Degree (equivalent & above),Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.5,4.2,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1022241,0.333212073625843,Male,60-64,Prefer not to answer,Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Rarely wrong,Rarely wrong,Conservative,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.375,3.8,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1045671,2.1630886545205,Male,45-54,Prefer not to answer,Lower supervisory and technical occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,2.5,1.0,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1031291,0.33995916719722,Female,60-64,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Rarely wrong,Rarely wrong,Labour,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,1.5,1.6,2.5,Not applicable,Not applicable,Not applicable,Not applicable
1031292,0.205849175972027,Male,60-64,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Rarely wrong,Rarely wrong,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Don't know,1.5,1.2,2.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1027341,0.141386160961362,Female,55-59,"Less than £1,410 per month",Intermediate occupations,Degree (equivalent & above),Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Labour,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,1.375,1.2,1.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1027201,0.861980775400012,Female,65+,"£1,411 - £2,560 per month",Small employers and own account workers,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.75,3.8,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1027202,0.705705463340849,Male,65+,"£2,561 - £4,350 per month",Small employers and own account workers,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone far enough,2.125,3.6,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1021461,0.552956494812706,Female,35-44,"£2,561 - £4,350 per month",Small employers and own account workers,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,About right,3.25,3.0,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1021462,1.27946718319635,Male,45-54,Prefer not to answer,Lower supervisory and technical occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,None,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.625,2.8,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1018221,0.716425984491636,Male,35-44,"Less than £1,410 per month",Managerial and professional occupations,GCSE/O Level/Standard Grade or equivalent,Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Liberal Democrat,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone nearly far enough,1.875,1.4,4.0,Not applicable,Not applicable,Not applicable,Not applicable
1016291,0.50634859110617,Male,60-64,Prefer not to answer,Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Always wrong,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone too far,Gone too far,4.125,2.6,4.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1016292,1.09905129107628,Female,55-59,Prefer not to answer,Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Always wrong,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,About right,4.75,2.2,4.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1043721,0.931965661216227,Male,65+,Prefer not to answer,Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Mostly wrong,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Don't know,3.875,3.0,4.5,Not applicable,Not applicable,Not applicable,Not applicable
1042071,0.943811875071889,Female,55-59,"£2,561 - £4,350 per month",Small employers and own account workers,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,2.625,3.4,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1011411,0.959409784659785,Male,25-34,"Less than £1,410 per month",Not classifiable,Degree (equivalent & above),Single (never married/never in a civil partnership),Yes,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.5,2.0,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1014041,0.441240826651765,Female,55-59,"£2,561 - £4,350 per month",Managerial and professional occupations,GCSE/O Level/Standard Grade or equivalent,Separated/divorced/dissolved civil partnership,No,Not wrong at all,Not wrong at all,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,2.5,4.0,2.5,Not applicable,Not applicable,Not applicable,Not applicable
1013331,3.034291599301,Female,45-54,"£2,561 - £4,350 per month",Intermediate occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,None,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.0,2.4,4.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1013332,3.29202377221001,Male,55-59,"£2,561 - £4,350 per month",Intermediate occupations,GCSE/O Level/Standard Grade or equivalent,Separated/divorced/dissolved civil partnership,No,Not wrong at all,Not wrong at all,None,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.125,2.4,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1009111,0.639575423671855,Male,45-54,"£4,351 per month or more",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.5,2.4,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1009112,0.949746644287721,Female,45-54,"£2,561 - £4,350 per month",Semi-routine and routine occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Rarely wrong,None,None at all,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.125,2.4,4.5,Not applicable,Not applicable,Not applicable,Not applicable
1009821,0.957148250388721,Male,35-44,Prefer not to answer,Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone nearly far enough,1.875,1.2,2.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1016052,1.23360679357311,Female,65+,"Less than £1,410 per month",Don't know/Prefer not to answer,No qualifications,Separated/divorced/dissolved civil partnership,No,Not wrong at all,Not wrong at all,Labour,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.375,2.4,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1035861,0.836496331791023,Female,45-54,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Green Party,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone nearly far enough,2.125,2.2,2.0,Not applicable,Not applicable,Not applicable,Not applicable
1035862,2.20718243007439,Male,35-44,"£2,561 - £4,350 per month",Managerial and professional occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Green Party,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,About right,3.125,2.6,3.0,Not applicable,Not applicable,Not applicable,Not applicable
1046351,1.0566854333486,Male,25-34,"£1,411 - £2,560 per month",Semi-routine and routine occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,None,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone too far,About right,4.125,2.8,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1046352,0.531649286910325,Female,25-34,"£1,411 - £2,560 per month",Semi-routine and routine occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,None,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone too far,About right,4.375,2.8,2.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1019611,2.6107564701618,Female,45-54,"Less than £1,410 per month",Semi-routine and routine occupations,GCSE/O Level/Standard Grade or equivalent,Single (never married/never in a civil partnership),Yes,Not wrong at all,Not wrong at all,None,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,2.75,1.8,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1019612,3.35132707051884,Female,18-24,"Less than £1,410 per month",Not classifiable,Higher education below degree/A levels,Single (never married/never in a civil partnership),Yes,Not wrong at all,Not wrong at all,None,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.0,1.8,2.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1002741,1.21380167649519,Male,65+,Prefer not to answer,Semi-routine and routine occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Always wrong,Green Party,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone too far,Gone too far,3.375,2.0,4.0,Not applicable,Not applicable,Not applicable,Not applicable
1002742,1.43811406454924,Female,65+,Prefer not to answer,Semi-routine and routine occupations,No qualifications,Married/in a civil partnership/living with a partner,No,Always wrong,Always wrong,None,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.375,1.4,3.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1015261,0.929628811711205,Male,60-64,"£1,411 - £2,560 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Rarely wrong,Rarely wrong,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,1.25,2.6,2.5,Not applicable,Not applicable,Not applicable,Not applicable
1015262,0.961654463512058,Female,18-24,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Green Party,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone nearly far enough,1.125,1.0,1.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1007401,1.53371515112132,Female,25-34,"£1,411 - £2,560 per month",Intermediate occupations,Higher education below degree/A levels,Single (never married/never in a civil partnership),No,Not wrong at all,Always wrong,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not gone far enough,3.0,2.2,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1033281,0.81211206035846,Male,65+,"£2,561 - £4,350 per month",Managerial and professional occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Sometimes wrong,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone nearly far enough,2.875,2.8,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1005311,1.4406655238935,Male,35-44,"£4,351 per month or more",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,None,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.25,2.2,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1005312,1.21030572019805,Female,35-44,"£4,351 per month or more",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,None,None at all,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Don't know,2.875,1.8,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1020891,1.71239457900565,Female,55-59,Prefer not to answer,Don't know/Prefer not to answer,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Don't know,3.625,1.6,4.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1031831,1.8976007336657,Male,25-34,"£1,411 - £2,560 per month",Managerial and professional occupations,Higher education below degree/A levels,Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Conservative,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.5,5.0,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1031832,0.949156704630081,Male,35-44,"£1,411 - £2,560 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,4.625,2.2,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1022891,0.335874398893691,Female,55-59,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Separated/divorced/dissolved civil partnership,No,Not wrong at all,Not wrong at all,Labour,A great deal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,1.625,2.4,1.5,Not applicable,Not applicable,Not applicable,Not applicable
1025881,1.945269638505,Female,45-54,"£4,351 per month or more",Lower supervisory and technical occupations,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,Yes,Sometimes wrong,Not wrong at all,Conservative,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,5.0,1.8,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1025882,2.38534824248616,Male,45-54,"£4,351 per month or more",Small employers and own account workers,GCSE/O Level/Standard Grade or equivalent,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Always wrong,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone much too far,Gone much too far,5.0,1.2,4.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1034261,0.871756146747186,Male,65+,Prefer not to answer,Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Other party,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.5,2.2,2.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1030051,0.675271817714697,Male,25-34,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Single (never married/never in a civil partnership),No,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,2.625,1.0,2.5,Not applicable,Not applicable,Not applicable,Not applicable
1037281,1.75057317086554,Female,65+,"£1,411 - £2,560 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Labour,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not gone far enough,2.875,2.8,3.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1037581,0.232813839906103,Female,35-44,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Green Party,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.875,3.0,2.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1037582,0.399613343097193,Male,35-44,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Green Party,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,3.5,3.2,2.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1007611,2.6218321421085,Female,18-24,"£2,561 - £4,350 per month",Semi-routine and routine occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,None at all,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.5,2.0,4.5,Not applicable,Not applicable,Not applicable,Not applicable
1007612,2.65265096966403,Male,25-34,"£2,561 - £4,350 per month",Small employers and own account workers,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,None,None at all,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.75,2.2,3.5,Not applicable,Not applicable,Not applicable,Not applicable
1035471,0.499575442855748,Female,25-34,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,3.5,2.2,3.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1035472,1.33740851618691,Male,25-34,"£2,561 - £4,350 per month",Small employers and own account workers,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Not wrong at all,Labour,Some,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone too far,Gone too far,3.75,3.0,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1001231,0.470402362959823,Female,55-59,"Less than £1,410 per month",Managerial and professional occupations,GCSE/O Level/Standard Grade or equivalent,Separated/divorced/dissolved civil partnership,No,Not wrong at all,Not wrong at all,None,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone far enough,3.25,1.8,4.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1039571,0.724843960475643,Female,55-59,"£4,351 per month or more",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Rarely wrong,Conservative,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.625,2.4,2.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1039572,1.29835842795551,Male,45-54,"£2,561 - £4,350 per month",Managerial and professional occupations,Degree (equivalent & above),Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,Green Party,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone far enough,Not gone far enough,2.625,2.2,2.66666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1003251,1.98911984138736,Male,25-34,"£4,351 per month or more",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Sometimes wrong,Liberal Democrat,Quite a lot,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Gone much too far,5.0,2.6,3.16666666666667,Not applicable,Not applicable,Not applicable,Not applicable
1003252,1.58080123831091,Female,25-34,"£1,411 - £2,560 per month",Managerial and professional occupations,Higher education below degree/A levels,Married/in a civil partnership/living with a partner,Yes,Not wrong at all,Sometimes wrong,None,None at all,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone much too far,Gone much too far,5.0,3.0,3.33333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1043231,1.0544665717751,Female,35-44,"Less than £1,410 per month",Not classifiable,No qualifications,Married/in a civil partnership/living with a partner,No,Sometimes wrong,Always wrong,None,None at all,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not gone nearly far enough,Not gone nearly far enough,2.625,2.8,4.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1043232,1.34529780178156,Male,35-44,"Less than £1,410 per month",Managerial and professional occupations,No qualifications,Married/in a civil partnership/living with a partner,No,Not wrong at all,Not wrong at all,None,None at all,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,About right,2.625,1.8,3.83333333333333,Not applicable,Not applicable,Not applicable,Not applicable
1008471,0.598620198316687,Male,60-64,"£1,411 - £2,560 per month",Lower supervisory and technical occupations,Higher education below degree/A levels,Separated/divorced/dissolved civil partnership,No,Not wrong at all,Not wrong at all,Green Party,Not very much,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Gone too far,Gone too far,3.625,3.2,5.0,Not applicable,Not applicable,Not applicable,Not applicable
